Nom de domaine,Pays BE,Departement BE,Ville BE,Nom BE,Sous domaine,Type du titulaire,Pays titulaire,Departement titulaire,Domaine IDN,Date de crtion,Date de retrait du WHOIS,
chlordecone-infos.gouv.fr,FR,75,PARIS,GANDI,gouv.fr,ORG,FR,94,0,17-09-2008,04-07-2018,
chorus-pro.gouv.fr,FR,49,ANGERS,NAMESHIELD,gouv.fr,ORG,FR,93,0,03-02-2016,,
chouette.beta.gouv.fr,,,,,,,,,,,,
ciccfondseuropeens.gouv.fr,FR,49,ANGERS,NAMESHIELD,gouv.fr,ORG,FR,75,0,24-02-2009,,
cigeo.gouv.fr,FR,49,ANGERS,NAMESHIELD,gouv.fr,ORG,FR,75,0,16-07-2018,,
cipdr.gouv.fr,FR,13,MARSEILLE CEDEX 03,SAFEBRANDS,gouv.fr,ORG,FR,75,0,31-01-2018,,
cira.gouv.fr,FR,72,SAINT SATURNIN,DIGITAL RURAL INFORMATIQUE,gouv.fr,ORG,FR,93,0,15-03-2002,09-03-2019,
circulaire.legifrance.gouv.fr,,,,,,,,,,,,
circulaires.gouv.fr,FR,49,ANGERS,NAMESHIELD,gouv.fr,ORG,FR,75,0,23-02-2009,,
circulaires.legifrance.gouv.fr,,,,,,,,,,,,
cis.gouv.fr,FR,59,ROUBAIX,OVH,gouv.fr,ORG,FR,33,0,27-09-2005,20-03-2015,
cites.application.developpement-durable.gouv.fr,,,,,,,,,,,,
civen.gouv.fr,FR,75,PARIS,GANDI,gouv.fr,ORG,FR,75,0,16-06-2015,,
civi.gouv.fr,FR,75,PARIS,ONLINE SAS,gouv.fr,ORG,FR,75,0,21-06-2000,23-07-2016,
civs.gouv.fr,,,,,,,,,,,,
classe-a-12.beta.gouv.fr,,,,,,,,,,,,
clcf.gouv.fr,FR,75,PARIS,GANDI,gouv.fr,ORG,FR,75,0,20-08-2007,,
clone-extranet.ecocite.logement.gouv.fr,,,,,,,,,,,,
clone-extranet.metier.dgitm.din.developpement-durable.gouv.fr,,,,,,,,,,,,
clone-extranet.web.metier.developpement-durable.gouv.fr,,,,,,,,,,,,
cnaop.gouv.fr,FR,49,ANGERS,NAMESHIELD,gouv.fr,ORG,FR,75,0,27-08-2008,,
cncd.diplomatie.gouv.fr,,,,,,,,,,,,
cncmfe.gouv.fr,,,,,,,,,,,,
cncp.gouv.fr,,,,,,,,,,,,
cndd.gouv.fr,,,,,,,,,,,,
cnefop.gouv.fr,FR,49,ANGERS,NAMESHIELD,gouv.fr,ORG,FR,75,0,05-09-2014,,
cnfptlv.gouv.fr,FR,49,ANGERS,NAMESHIELD,gouv.fr,ORG,FR,75,0,12-07-2005,,
cnig.gouv.fr,,,,,,,,,,,,
cnle.gouv.fr,FR,49,ANGERS,NAMESHIELD,gouv.fr,ORG,FR,75,0,08-11-2007,,
cnml.gouv.fr,FR,49,ANGERS,NAMESHIELD,gouv.fr,ORG,FR,75,0,04-08-2004,,
cnphl.gouv.fr,FR,49,ANGERS,NAMESHIELD,gouv.fr,ORG,FR,75,0,08-07-2009,,
cnriph.sante.gouv.fr,,,,,,,,,,,,
cnsnmm.sports.gouv.fr,,,,,,,,,,,,
codedutravail.num.social.gouv.fr,,,,,,,,,,,,
codeveloppement.gouv.fr,FR,75,PARIS,GANDI,gouv.fr,ORG,FR,75,0,03-08-2007,,
coe.gouv.fr,FR,75,PARIS,GANDI,gouv.fr,ORG,FR,75,0,17-11-2008,,
coeurdeville.gouv.fr,FR,49,ANGERS,NAMESHIELD,gouv.fr,ORG,FR,75,0,02-12-2016,,
cofgc.gouv.fr,,,,,,,,,,,,
cohesion-sociale.gouv.fr,FR,49,ANGERS,NAMESHIELD,gouv.fr,ORG,FR,75,0,07-12-2005,,
cohesion-territoires.gouv.fr,FR,49,ANGERS,NAMESHIELD,gouv.fr,ORG,FR,75,0,23-05-2017,,
cohesionsociale.gouv.fr,,,,,,,,,,,,
collectivites-locales.gouv.fr,,,,,,,,,,,,
collectivites-territoriales.gouv.fr,FR,13,MARSEILLE CEDEX 03,SAFEBRANDS,gouv.fr,ORG,FR,75,0,29-06-2012,,
comite-femmes.gouv.fr,FR,75,PARIS,GANDI,gouv.fr,ORG,FR,75,0,12-10-2012,,
comite-fiscalite-ecologique.gouv.fr,FR,49,ANGERS,NAMESHIELD,gouv.fr,ORG,FR,75,0,05-09-2013,,
commande-publique-numerique.gouv.fr,FR,75,PARIS,GANDI,gouv.fr,ORG,FR,75,0,03-07-2018,,
commerce-exterieur.gouv.fr,FR,75,PARIS 15,ORANGE,gouv.fr,ORG,FR,75,0,20-03-1998,03-11-2018,
commission-nationale-services.gouv.fr,FR,75,PARIS,GANDI,gouv.fr,ORG,FR,75,0,27-08-2014,,
commission-participations-transferts.gouv.fr,FR,75,PARIS,GANDI,gouv.fr,ORG,FR,75,0,12-06-2015,,
